                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.82844,                 2.3819,                 3.0774,                 1.0798,                0.00571,                      1,                0.47407,                0.35503,                0.00571,                      1,                0.44457,                0.33094,                0.65039,                 1.1983,                 3.1821,                 1.1251,                 0.0766,                 0.0026,                 0.0026
                      1,                0.60544,                 1.3535,                  2.762,                0.95997,                0.00597,                      1,                0.82972,                0.72327,                0.00597,                      1,                0.83358,                0.63685,                0.49287,                 1.0316,                 2.9512,                 1.0004,                0.05223,                0.00523,                0.00523
                      2,                0.63469,                 1.2384,                    1.9,                0.95723,                0.79059,                0.88117,                0.90872,                0.77221,                0.79059,                0.88117,                0.90872,                0.72635,                0.48763,                0.91839,                 1.8315,                0.92375,               0.027789,              0.0077888,              0.0077888
                      3,                0.87423,                 1.0467,                 1.7525,                0.99956,                0.74442,                      1,                0.94941,                0.58283,                0.74442,                      1,                0.94941,                0.70574,                0.76425,                 1.3642,                 4.1825,                 1.0987,               0.009604,               0.009604,               0.009604
                      4,                 0.8685,                 1.1306,                 1.5942,                0.99463,                0.66022,                    0.8,                0.79135,                0.58443,                0.66022,                    0.8,                0.79067,                 0.5391,                0.72287,                 1.7338,                 1.9256,                 1.1981,               0.009604,               0.009604,               0.009604
                      5,                0.79345,                 1.1534,                 1.3671,                 1.0125,                0.91962,                0.93333,                0.97463,                0.79177,                0.91962,                0.93333,                0.97463,                0.75359,                0.59444,                 1.0711,                 1.3594,                0.97691,               0.009472,               0.009472,               0.009472
                      6,                0.77236,                  1.228,                 1.4004,                 1.0106,                0.77226,                    0.5,                0.58585,                0.46581,                0.77226,                    0.5,                0.58585,                0.42854,                0.59288,                 1.3406,                 2.0762,                 0.9987,                0.00934,                0.00934,                0.00934
                      7,                 0.7945,                 1.2507,                 1.3752,                 1.0078,                0.78621,                0.85828,                0.87467,                0.69853,                0.78621,                0.85828,                0.87467,                0.68557,                0.65474,                 1.0006,                 1.5991,                  1.034,               0.009208,               0.009208,               0.009208
                      8,                 0.7523,                 1.2578,                 1.2778,                 1.0361,                0.87724,                      1,                0.96319,                0.76821,                0.87724,                      1,                0.96319,                0.74467,                0.81831,                 1.1056,                 1.4448,                 1.2296,               0.009076,               0.009076,               0.009076
                      9,                0.72368,                 1.2469,                 1.2206,                0.98731,                0.87679,                      1,                0.95574,                 0.8004,                0.87679,                      1,                0.95574,                0.77904,                0.61585,                0.86693,                 1.3107,                 1.0522,               0.008944,               0.008944,               0.008944
